NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
21,193,134,327,389.300186,0.884465
21,198,138,336,401.257924,0.881863
21,195,138,333,389.327350,0.900598
21,204,128,332,403.886040,0.865209
21,202,135,337,403.958515,0.886027
21,200,141,341,399.287934,0.896956
21,200,144,344,399.152174,0.905543
21,197,131,328,397.134216,0.871194
21,204,136,340,408.318750,0.878220
21,201,134,335,399.567039,0.885506
21,198,132,330,404.784552,0.860526
21,193,147,340,393.678819,0.906063
21,197,140,337,393.644681,0.900859
21,202,136,338,400.781857,0.891751
21,193,149,342,391.395473,0.913089
21,197,144,341,394.005713,0.905543
21,198,144,342,398.636943,0.902160
21,194,138,332,393.182126,0.888889
21,196,144,340,393.086643,0.907624
21,196,142,338,400.658236,0.883685
22,213,179,392,427.578434,0.952062
22,213,190,403,429.909380,0.969697
22,213,183,396,431.123851,0.957526
22,204,173,377,408.780501,0.960258
22,214,180,394,428.830495,0.955787
22,212,179,391,428.461078,0.951068
22,209,180,389,422.702834,0.954049
22,207,180,387,418.271678,0.959762
22,210,176,386,422.292391,0.951565
22,207,181,388,421.502428,0.955787
22,217,180,397,433.267010,0.957526
22,212,178,390,424.591671,0.956533
22,214,183,397,433.619642,0.951068
22,214,182,396,429.035522,0.959265
22,211,183,394,424.129412,0.963984
22,214,179,393,427.395462,0.958023
22,210,175,385,420.284707,0.955042
22,208,180,388,422.986190,0.952062
22,206,179,385,416.445459,0.955042
22,213,183,396,427.425201,0.962742
23,218,185,403,441.610778,0.950820
23,224,186,410,451.633080,0.947731
23,214,186,400,436.052836,0.950344
23,218,187,405,438.324762,0.958422
23,223,180,403,447.671417,0.942029
23,221,193,414,449.104639,0.955809
23,223,187,410,449.515499,0.951057
23,220,186,406,443.167531,0.949869
23,216,180,396,436.554217,0.949869
23,218,181,399,440.553778,0.945593
23,221,185,406,443.512588,0.953433
23,215,185,400,433.917526,0.959848
23,216,184,400,435.714286,0.956522
23,226,177,403,449.689024,0.935614
23,219,185,404,444.907378,0.941791
23,216,178,394,433.441192,0.948206
23,220,193,413,444.241503,0.963412
23,218,189,407,445.877928,0.951295
23,220,182,402,442.357647,0.942742
23,220,187,407,444.143894,0.952483
24,226,193,419,455.394209,0.956056
24,234,194,428,465.291089,0.954463
24,227,188,415,457.270447,0.947632
24,231,189,420,462.315789,0.946266
